Database,Credit,Table,IFCGLs
IFCCode,SysAccountName,AccountAlias,Id
253,PENALTY_INT1,###**34620?000000000,0
253,PAID_PENALTY_INT1,###**62230?000000000,0
253,PENALTY_INT0,###**34620?000000000,0
253,PAID_PENALTY_INT0,###**62230?000000000,0
253,PENALTY_INT2,###**34620?000000000,0
253,PAID_PENALTY_INT2,###**62230?000000000,0
253,PENALTY_INT3,###**34620?000000000,0
253,PENALTY_INT4,###**34620?000000000,0
253,PAID_PENALTY_INT_S,###**62230?000000000,0
263,PENALTY_INT1,###**34620?000000000,0
263,PAID_PENALTY_INT1,###**62230?000000000,0
263,PENALTY_INT0,###**34620?000000000,0
263,PAID_PENALTY_INT0,###**62230?000000000,0
263,PENALTY_INT2,###**34620?000000000,0
263,PAID_PENALTY_INT2,###**62230?000000000,0
263,PENALTY_INT3,###**34620?000000000,0
263,PENALTY_INT4,###**34620?000000000,0
263,PAID_PENALTY_INT_S,###**62230?000000000,0
273,PENALTY_INT1,###**34620?000000000,0
273,PAID_PENALTY_INT1,###**62230?000000000,0
273,PENALTY_INT0,###**34620?000000000,0
273,PAID_PENALTY_INT0,###**62230?000000000,0
273,PENALTY_INT2,###**34620?000000000,0
273,PAID_PENALTY_INT2,###**62230?000000000,0
273,PENALTY_INT3,###**34620?000000000,0
273,PENALTY_INT4,###**34620?000000000,0
273,PAID_PENALTY_INT_S,###**62230?000000000,0
283,PENALTY_INT1,###**34620?000000000,0
283,PAID_PENALTY_INT1,###**62230?000000000,0
283,PENALTY_INT0,###**34620?000000000,0
283,PAID_PENALTY_INT0,###**62230?000000000,0
283,PENALTY_INT2,###**34620?000000000,0
283,PAID_PENALTY_INT2,###**62230?000000000,0
283,PENALTY_INT3,###**34620?000000000,0
283,PENALTY_INT4,###**34620?000000000,0
283,PAID_PENALTY_INT_S,###**62230?000000000,0
303,PENALTY_INT1,###**34620?000000000,0
303,PAID_PENALTY_INT1,###**62230?000000000,0
303,PENALTY_INT0,###**34620?000000000,0
303,PAID_PENALTY_INT0,###**62230?000000000,0
303,PENALTY_INT2,###**34620?000000000,0
303,PAID_PENALTY_INT2,###**62230?000000000,0
303,PENALTY_INT3,###**34620?000000000,0
303,PENALTY_INT4,###**34620?000000000,0
303,PAID_PENALTY_INT_S,###**62230?000000000,0
313,PENALTY_INT1,###**34620?000000000,0
313,PAID_PENALTY_INT1,###**62230?000000000,0
313,PENALTY_INT0,###**34620?000000000,0
313,PAID_PENALTY_INT0,###**62230?000000000,0
313,PENALTY_INT2,###**34620?000000000,0
313,PAID_PENALTY_INT2,###**62230?000000000,0
313,PENALTY_INT3,###**34620?000000000,0
313,PENALTY_INT4,###**34620?000000000,0
313,PAID_PENALTY_INT_S,###**62230?000000000,0
342,PENALTY_INT1,###**34620?000000000,0
342,PAID_PENALTY_INT1,###**62230?000000000,0
342,PENALTY_INT0,###**34620?000000000,0
342,PAID_PENALTY_INT0,###**62230?000000000,0
342,PENALTY_INT2,###**34620?000000000,0
342,PAID_PENALTY_INT2,###**62230?000000000,0
342,PENALTY_INT3,###**34620?000000000,0
342,PENALTY_INT4,###**34620?000000000,0
342,PAID_PENALTY_INT_S,###**62230?000000000,0
352,PENALTY_INT1,###**34620?000000000,0
352,PAID_PENALTY_INT1,###**62230?000000000,0
352,PENALTY_INT0,###**34620?000000000,0
352,PAID_PENALTY_INT0,###**62230?000000000,0
352,PENALTY_INT2,###**34620?000000000,0
352,PAID_PENALTY_INT2,###**62230?000000000,0
352,PENALTY_INT3,###**34620?000000000,0
352,PENALTY_INT4,###**34620?000000000,0
352,PAID_PENALTY_INT_S,###**62230?000000000,0
363,PENALTY_INT1,###**34620?000000000,0
363,PAID_PENALTY_INT1,###**62230?000000000,0
363,PENALTY_INT0,###**34620?000000000,0
363,PAID_PENALTY_INT0,###**62230?000000000,0
363,PENALTY_INT2,###**34620?000000000,0
363,PAID_PENALTY_INT2,###**62230?000000000,0
363,PENALTY_INT3,###**34620?000000000,0
363,PENALTY_INT4,###**34620?000000000,0
363,PAID_PENALTY_INT_S,###**62230?000000000,0
373,PENALTY_INT1,###**34620?000000000,0
373,PAID_PENALTY_INT1,###**62230?000000000,0
373,PENALTY_INT0,###**34620?000000000,0
373,PAID_PENALTY_INT0,###**62230?000000000,0
373,PENALTY_INT2,###**34620?000000000,0
373,PAID_PENALTY_INT2,###**62230?000000000,0
373,PENALTY_INT3,###**34620?000000000,0
373,PENALTY_INT4,###**34620?000000000,0
373,PAID_PENALTY_INT_S,###**62230?000000000,0
383,PENALTY_INT1,###**34620?000000000,0
383,PAID_PENALTY_INT1,###**62230?000000000,0
383,PENALTY_INT0,###**34620?000000000,0
383,PAID_PENALTY_INT0,###**62230?000000000,0
383,PENALTY_INT2,###**34620?000000000,0
383,PAID_PENALTY_INT2,###**62230?000000000,0
383,PENALTY_INT3,###**34620?000000000,0
383,PENALTY_INT4,###**34620?000000000,0
383,PAID_PENALTY_INT_S,###**62230?000000000,0
392,PENALTY_INT1,###**34620?000000000,0
392,PAID_PENALTY_INT1,###**62230?000000000,0
392,PENALTY_INT0,###**34620?000000000,0
392,PAID_PENALTY_INT0,###**62230?000000000,0
392,PENALTY_INT2,###**34620?000000000,0
392,PAID_PENALTY_INT2,###**62230?000000000,0
392,PENALTY_INT3,###**34620?000000000,0
392,PENALTY_INT4,###**34620?000000000,0
392,PAID_PENALTY_INT_S,###**62230?000000000,0
