Database,Credit,Table,CreditCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
NR10MMK013,PROV_CR_RVS0,,###**34620?000000000,0
NR10MMK013,PROV_CR_RVS1,,###**34620?000000000,0
NR10MMK013,PROV_CR_RVS2,,###**34620?000000000,0
NR10MMK013,PROV_CR_RVS3,,###**34620?000000000,0
NR10MMK013,PROV_CR_RVS4,,###**34620?000000000,0
NR10MMK013,PROV_CR0,,###**62230?000000000,0
NR10MMK013,PROV_CR1,,###**62230?000000000,0
NR10MMK013,PROV_CR2,,###**62230?000000000,0
NR10MMK013,PROV_CR3,,###**62230?000000000,0
NR10MMK013,PROV_CR4,,###**62230?000000000,0
NR10MMK013,PROV_DR_RVS0,,###**62230?000000000,0
NR10MMK013,PROV_DR_RVS1,,###**62230?000000000,0
NR10MMK013,PROV_DR_RVS2,,###**62230?000000000,0
NR10MMK013,PROV_DR_RVS3,,###**62230?000000000,0
NR10MMK013,PROV_DR_RVS4,,###**62230?000000000,0
NR10MMK013,PROV_DR0,,###**34620?000000000,0
NR10MMK013,PROV_DR1,,###**34620?000000000,0
NR10MMK013,PROV_DR2,,###**34620?000000000,0
NR10MMK013,PROV_DR3,,###**34620?000000000,0
NR10MMK013,PROV_DR4,,###**34620?000000000,0
HPA2MMK014,CREDIT0,,###**95410?060000000,0
HPA2MMK014,CREDIT1,,###**95410?060000000,0
HPA2MMK014,CREDIT2,,###**95410?060000000,0
HPA2MMK014,CREDIT3,,###**95410?060000000,0
HPA2MMK014,CREDIT4,,###**95410?060000000,0
HPA2MMK014,PROV_CR_RVS0,,###**34620?000000000,0
HPA2MMK014,PROV_CR_RVS1,,###**34620?000000000,0
HPA2MMK014,PROV_CR_RVS2,,###**34620?000000000,0
HPA2MMK014,PROV_CR_RVS3,,###**34620?000000000,0
HPA2MMK014,PROV_CR_RVS4,,###**34620?000000000,0
HPA2MMK014,PROV_CR0,,###**62230?000000000,0
HPA2MMK014,PROV_CR1,,###**62230?000000000,0
HPA2MMK014,PROV_CR2,,###**62230?000000000,0
HPA2MMK014,PROV_CR3,,###**62230?000000000,0
HPA2MMK014,PROV_CR4,,###**62230?000000000,0
HPA2MMK014,PROV_DR_RVS0,,###**62230?000000000,0
HPA2MMK014,PROV_DR_RVS1,,###**62230?000000000,0
HPA2MMK014,PROV_DR_RVS2,,###**62230?000000000,0
HPA2MMK014,PROV_DR_RVS3,,###**62230?000000000,0
HPA2MMK014,PROV_DR_RVS4,,###**62230?000000000,0
HPA2MMK014,PROV_DR0,,###**34620?000000000,0
HPA2MMK014,PROV_DR1,,###**34620?000000000,0
HPA2MMK014,PROV_DR2,,###**34620?000000000,0
HPA2MMK014,PROV_DR3,,###**34620?000000000,0
HPA2MMK014,PROV_DR4,,###**34620?000000000,0
HPA5MMK015,CREDIT0,,###**95410?060000000,0
HPA5MMK015,CREDIT1,,###**95410?060000000,0
HPA5MMK015,CREDIT2,,###**95410?060000000,0
HPA5MMK015,CREDIT3,,###**95410?060000000,0
HPA5MMK015,CREDIT4,,###**95410?060000000,0
HPA5MMK015,PROV_CR_RVS0,,###**34620?000000000,0
HPA5MMK015,PROV_CR_RVS1,,###**34620?000000000,0
HPA5MMK015,PROV_CR_RVS2,,###**34620?000000000,0
HPA5MMK015,PROV_CR_RVS3,,###**34620?000000000,0
HPA5MMK015,PROV_CR_RVS4,,###**34620?000000000,0
HPA5MMK015,PROV_CR0,,###**62230?000000000,0
HPA5MMK015,PROV_CR1,,###**62230?000000000,0
HPA5MMK015,PROV_CR2,,###**62230?000000000,0
HPA5MMK015,PROV_CR3,,###**62230?000000000,0
HPA5MMK015,PROV_CR4,,###**62230?000000000,0
HPA5MMK015,PROV_DR_RVS0,,###**62230?000000000,0
HPA5MMK015,PROV_DR_RVS1,,###**62230?000000000,0
HPA5MMK015,PROV_DR_RVS2,,###**62230?000000000,0
HPA5MMK015,PROV_DR_RVS3,,###**62230?000000000,0
HPA5MMK015,PROV_DR_RVS4,,###**62230?000000000,0
HPA5MMK015,PROV_DR0,,###**34620?000000000,0
HPA5MMK015,PROV_DR1,,###**34620?000000000,0
HPA5MMK015,PROV_DR2,,###**34620?000000000,0
HPA5MMK015,PROV_DR3,,###**34620?000000000,0
HPA5MMK015,PROV_DR4,,###**34620?000000000,0
SHLNMMK016,CREDIT0,,###**95410?060000000,0
SHLNMMK016,CREDIT1,,###**95410?060000000,0
SHLNMMK016,CREDIT2,,###**95410?060000000,0
SHLNMMK016,CREDIT3,,###**95410?060000000,0
SHLNMMK016,CREDIT4,,###**95410?060000000,0
SHLNMMK016,PROV_CR_RVS0,,###**34620?000000000,0
