Database,Admin,Table,UserLimit,,,,,,
RoleId,CommandId,CurrencyCode,ULimit,CvTable,LimitType,Margin,UpdatedOnUtc,CreatedOnUtc,Id
1,DPT_CEI,MMK,.000,,A,0,,,0
1,DPT_CER,MMK,.000,,A,0,,,0
1,DPT_CIP,MMK,.000,,A,0,,,0
1,DPT_CIQ,MMK,.000,,A,0,,,0
1,DPT_CIS,MMK,.000,,A,0,,,0
1,DPT_CLS,MMK,.000,,A,0,,,0
1,DPT_COD,MMK,.000,,A,0,,,0
1,DPT_COG,MMK,.000,,A,0,,,0
1,DPT_CRT,MMK,.000,,A,0,,,0
1,DPT_CSH,MMK,.000,,A,0,,,0
1,DPT_CTS,MMK,.000,,A,0,,,0
1,DPT_CWC,MMK,.000,,A,0,,,0
1,DPT_CWM,MMK,.000,,A,0,,,0
1,DPT_CWR,MMK,.000,,A,0,,,0
1,DPT_DIP,MMK,.000,,A,0,,,0
1,DPT_DLS,MMK,.000,,A,0,,,0
1,DPT_DPT,MMK,.000,,A,0,,,0
1,DPT_EMK,MMK,.000,,A,0,,,0
1,DPT_ERL,MMK,.000,,A,0,,,0
1,DPT_FBI,MMK,.000,,A,0,,,0
1,DPT_FEE,MMK,.000,,A,0,,,0
1,DPT_FOC,MMK,.000,,A,0,,,0
1,DPT_HIS,MMK,.000,,A,0,,,0
1,DPT_IFC,MMK,.000,,A,0,,,0
1,DPT_MDP,MMK,.000,,A,0,,,0
1,DPT_MIP,MMK,.000,,A,0,,,0
1,DPT_MLS,MMK,.000,,A,0,,,0
1,DPT_MWR,MMK,.000,,A,0,,,0
1,DPT_ODA,MMK,.000,,A,0,,,0
1,DPT_ODO,MMK,.000,,A,0,,,0
1,DPT_OPAL,MMK,.000,,A,0,,,0
1,DPT_OPN,MMK,.000,,A,0,,,0
