Database,Deposit,Table,DepositIFCDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcCode,IfcName,ValueBase,IsLinked,IfcLinkage,IfcOperator,FloorValue,CeilingValue,ValueType,IfcType,IfcSubType,IfcValue,MarginValue,ValueBasic,Isnet,Refname,IfcTenor,IfcTenorUnit,IfcCondition,CurrencyCode,RoundingRule,RoundingBasis,RoundingNum,Isleave,Isbook,Booktday,BookTenor,BookTenorUnit,IfcStatus,UserCreated,UserApproved,Payrate,ShareFee,EffectValueDate,EffectValue,TransactionList,CreatedOnUtc,UpdatedOnUtc,Id
19,Bank Statement (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,500.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
20,Bank Statement 3 Months (USD),I,N,0,+,0.00000,0.00000,F,C,CN,3.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
21,Bank Statement 3 Months (EUR),I,N,0,+,0.00000,0.00000,F,C,CN,3.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
22,Bank Statement 3 Months (SGD),I,N,0,+,0.00000,0.00000,F,C,CN,3.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
23,Bank Statement 6 Months (USD),I,N,0,+,0.00000,0.00000,F,C,CN,6.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
24,Bank Statement 6 Months (EUR),I,N,0,+,0.00000,0.00000,F,C,CN,6.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
25,Bank Statement 6 Months (SGD),I,N,0,+,0.00000,0.00000,F,C,CN,6.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
26,Bank Statement 1 Year (USD),I,N,0,+,0.00000,0.00000,F,C,CN,10.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
27,Bank Statement 1 Year (EUR),I,N,0,+,0.00000,0.00000,F,C,CN,10.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
28,Bank Statement 1 Year (SGD),I,N,0,+,0.00000,0.00000,F,C,CN,10.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
29,Balance Certificate (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,3000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
30,Balance Certificate (USD),I,N,0,+,0.00000,0.00000,F,C,CN,3.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
31,Balance Certificate (EUR),I,N,0,+,0.00000,0.00000,F,C,CN,3.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
32,Balance Certificate (SGD),I,N,0,+,0.00000,0.00000,F,C,CN,3.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
33,Account Closure (MMK) (close within 3 months from opening),I,N,0,+,0.00000,0.00000,F,C,CN,1000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_DLS|DPT_MLS|DPT_CLS,,,0
34,Account Closure (USD) For Individual Account,I,N,0,+,0.00000,0.00000,F,C,CN,5.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CLS|DPT_DLS|DPT_MLS,,,0
35,Account Closure (EUR) For Individual Account,I,N,0,+,0.00000,0.00000,F,C,CN,5.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CLS|DPT_DLS|DPT_MLS,,,0
36,Account Closure (SGD) For Individual Account,I,N,0,+,0.00000,0.00000,F,C,CN,5.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CLS|DPT_DLS|DPT_MLS,,,0
37,Account Closure (USD) For Enterprise Account,I,N,0,+,0.00000,0.00000,F,C,CN,10.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CLS|DPT_DLS|DPT_MLS,,,0
38,Account Closure (EUR) For Enterprise Account,I,N,0,+,0.00000,0.00000,F,C,CN,10.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CLS|DPT_DLS|DPT_MLS,,,0
39,Account Closure (SGD) For Enterprise Account,I,N,0,+,0.00000,0.00000,F,C,CN,10.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CLS|DPT_DLS|DPT_MLS,,,0
201,OD3M - Overdraft - Main Interest,A,N,0,+,0.00000,0.00000,P,I,IN,9.00000,0.00000,dbo.GetOverDraftBalance(AccountNumber),,,1,Y,dbo.GetOverDraftBalance(AccountNumber) > 0,MMK,R,P,5,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
202,OD3M - Overdraft - Commitment Fee,A,N,0,+,0.00000,0.00000,P,F,FC,9.00000,0.00000,dbo.GetUnUseBalance(AccountNumber),,,1,Y,dbo.GetUnUseBalance(AccountNumber) > 0 AND (CAST(WorkingDate AS DATE) <= CAST(OdToDate AS DATE)),MMK,R,P,5,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
211,ODAF - Overdraft (Fixed Deposit) - Main Interest,A,N,0,+,0.00000,0.00000,P,I,IN,10.00000,0.00000,dbo.GetOverDraftBalance(AccountNumber),,,1,Y,dbo.GetOverDraftBalance(AccountNumber) > 0,MMK,R,P,5,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
212,ODAF - Overdraft (Fixed Deposit) - Commitment Fee,A,N,0,+,0.00000,0.00000,P,F,FC,0.50000,0.00000,dbo.GetUnUseBalance(AccountNumber),,,1,Y,dbo.GetUnUseBalance(AccountNumber) > 0 AND (CAST(WorkingDate AS DATE) <= CAST(OdToDate AS DATE)),MMK,R,P,5,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
221,ODAH - Overdraft (Agent Hub) - Main Interest,A,N,0,+,0.00000,0.00000,P,I,IN,10.00000,0.00000,dbo.GetOverDraftBalance(AccountNumber),,,1,Y,dbo.GetOverDraftBalance(AccountNumber) > 0,MMK,R,P,5,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
40,Deposit (MMK) For Same Region  (By Cash/Tr),I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CDP|DPT_POI|DPT_RCC|DPT_TRF|DPT_CER,,,0
41,Deposit (MMK) For Same Branch  (By Cash/Tr),I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CDP|DPT_TRF,,,0
42,Withdrawal (MMK) For Same Branch  (By Cash),I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CWR,,,0
43,Account To Account Transfer (MMK) For Same Branch,I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_TRF,,,0
