Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
001103010101011101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101011201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010201010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010201010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010202010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010203010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010204010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010205010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010206010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010301010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010301010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010302010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010302010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010303010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010304010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010305010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010306010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010307010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010307010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
