Database,Accounting,Table,AccountChart,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,ParentAccountId,AccountLevel,IsAccountLeave,BalanceSide,ReverseBalance,PostingSide,AccountName,ShortAccountName,MultiValueName,AccountClassification,AccountCategories,AccountGroup,DirectPosting,IsVisible,IsMultiCurrency,JobProcessOption,RefAccountNumber,ReferencesNumber,CreatedOnUtc,UpdatedOnUtc,Id
30107,AAA,002,,3,FALSE,C,N,A,Overdraft to Term Loans,Overdraft to Term Loans,,I,M,I,Y,N,Y,N,,,,,0
30108,AAA,002,,3,FALSE,C,N,A,Investments,Investments,,I,M,I,Y,N,Y,N,,,,,0
30301,AAA,002,,3,FALSE,C,N,A,Fees and Commission on Loans and Overdraft,Fees and Commission on Loans and Overdraft,,I,M,I,Y,N,Y,N,,,,,0
30302,AAA,002,,3,FALSE,C,N,A,Fees and Commission on Cards,Fees and Commission on Cards,,I,M,I,Y,N,Y,N,,,,,0
30303,AAA,002,,3,FALSE,C,N,A,Fees on Remittance,Fees on Remittance,,I,M,I,Y,N,Y,N,,,,,0
30304,AAA,002,,3,FALSE,C,N,A,Commissions on Trade and Services Financing,Commissions on Trade and Services Financing,,I,M,I,Y,N,Y,N,,,,,0
30305,AAA,002,,3,FALSE,C,N,A,Commissions on Hire Purchase,Commissions on Hire Purchase,,I,M,I,Y,N,Y,N,,,,,0
30306,AAA,002,,3,FALSE,C,N,A,Commissions on Telegraphic Transfer of Foreign Currency,Commissions on Telegraphic Transfer of Foreign Currency,,I,M,I,Y,N,Y,N,,,,,0
30307,AAA,002,,3,FALSE,C,N,A,Commission on Payment Order,Commission on Payment Order,,I,M,I,Y,N,Y,N,,,,,0
30308,AAA,002,,3,FALSE,C,N,A,Commission on Insurance,Commission on Insurance,,I,M,I,Y,N,Y,N,,,,,0
30309,AAA,002,,3,FALSE,C,N,A,Others,Others,,I,M,I,Y,N,Y,N,,,,,0
30401,AAA,002,,3,FALSE,C,N,A,Foreign Exchange Gain,Foreign Exchange Gain,,I,M,I,Y,N,Y,N,,,,,0
30501,AAA,002,,3,FALSE,C,N,A,Gains on Fixed Assets,Gains on Fixed Assets,,I,M,I,Y,N,Y,N,,,,,0
